,names,country_of_origin,age,colour,sex,import_type,total_stakes,no_of_1_starts,no_of_2_starts,no_of_3_starts,total_starts,sire,dam,dam_sire
202,MULTIGOGO (A204) (Retired),AUS,,Brown , Gelding,PPG,2766650,4,2,2,31,Drumbeats,Lights Off,Way Of Light
203,SUPREME STORM (A205) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,9,Monaco Consul,Ladyofdistinction,Darci Brahma
204,WIN MONEY (A206) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,0,New Approach,Clothilde,Danehill
205,FANTASTIC SHOW (A207),AUS,5,Bay , Gelding,PPG,4121070,5,3,2,20,Not A Single Doubt,Evoked,Song Of Tara
206,ROCHFORD (A208),AUS,6,Bay , Gelding,PPG,1035000,1,2,2,22,Red Element,Bokissa,Bradbury's Luck
207,NICE FANDANGO (A209) (Retired),AUS,,Bay , Gelding,PPG,3543575,4,3,8,47,Reward For Effort,Charmed Lady,Jugah
208,AMUSING CITY (A210) (Retired),AUS,,Bay , Gelding,PPG,654100,1,0,1,7,Sebring,Amusements,Anabaa
209,SIGHT LEADER (A211) (Retired),AUS,,Bay , Gelding,PPG,957600,2,0,0,2,Turffontein,Crystal Cheval,Fastnet Rock
210,OCULIST (A212) (Retired),AUS,,Bay , Gelding,PP,0,0,0,0,8,Al Maher,Intralase,Spinning World
211,DALRADIAN (A213) (Retired),AUS,,Bay , Gelding,PP,48300,0,0,0,14,Reward For Effort,Miss Ireland,O'Reilly
212,ROCKETEER (A214) (Retired),AUS,,Bay , Gelding,PP,3129400,1,2,1,26,Smart Missile,Some Girls Do,More Than Ready
213,HAIR TRIGGER (A215) (Retired),AUS,,Bay , Gelding,PP,2424450,2,1,2,28,Smart Missile,Touch Of Greatness,Don Eduardo
214,PERFECT CHOICE (A216) (Retired),AUS,,Bay , Gelding,PP,169050,0,0,1,24,Snippetson,Green Mirage,Green Desert
215,ALL BEST FRIENDS (A217),AUS,6,Bay , Gelding,PP,2722750,3,2,1,40,Street Cry,Ambitious Lady,Anabaa
216,GRANITE BELT (A218) (Retired),NZ,,Chestnut , Gelding,PP,142025,0,0,1,5,Thorn Park,Straight Eight,Danske
217,ACCESSION YEARS (A219) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,6,Commands,Sevillano,Octagonal
218,CHAPARRAL STAR (A220) (Retired),AUS,,Bay , Gelding,PPG,2306800,3,3,3,34,High Chaparral,Sutology,Straussbrook
219,ZERO HEDGE (A221),AUS,6,Brown , Gelding,PPG,4517080,5,5,1,39,Medaglia d'Oro,Idriess,Anabaa
220,REMARKABLE (A222) (Retired),AUS,,Bay , Gelding,PPG,3057350,4,3,2,30,More Than Ready,Jujube,Encosta de Lago
221,GLORIAM (A223) (Retired),AUS,,Bay , Gelding,PPG,115575,0,1,0,14,Mossman,Fromage,Flying Spur
222,HAR HAR HEART (A224),AUS,6,Bay , Gelding,PPG,4948870,4,5,4,39,Myboycharlie,Dangerous Dancer,Danehill Dancer
223,SKYRAIDER (A225) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,6,Onemorenomore,Acupuncture,Pins
224,SO EASY (A226) (Retired),AUS,,Chestnut , Gelding,PPG,0,0,0,0,0,Snippetson,Whippy Van,Street Cry
225,GIOVANNI BATTISTA (A227) (Retired),IRE,,Bay , Gelding,PP,0,0,0,0,4,Clodovil,Aloisi,Kalanisi
226,BANK ON RED (A228) (Retired),USA,,Bay , Gelding,PP,3806810,3,2,2,23,Hat Trick,Asuncion,Powerscourt
227,MARVEL JOY (A229) (Retired),IRE,,Bay , Gelding,PP,822650,0,2,1,23,Helmet,Without Precedent,Polish Precedent
228,RADIANT TREASURE (A230) (Deregistered),IRE,,Bay , Gelding,PP,98650,0,0,0,11,Lilbourne Lad,Misty Night,Galileo
229,SWEETIE BARLEY (A231) (Retired),IRE,,Brown , Gelding,PP,78600,0,0,0,16,Requinto,Definite Opinion,Kheleyf
230,HEHA BOY (A232) (Deregistered),GB,,Bay , Colt,PP,0,0,0,0,5,Zamindar,Solar Pursuit,Galileo
231,MAGIC AGILITY (A233) (Retired),GER,,Bay , Gelding,PP,0,0,0,0,14,Caradak,Dyanamore,Mt Livermore
232,TERRITORY (A234) (Retired),IRE,,Bay , Gelding,PP,0,0,0,0,0,Acclamation,Ushindi,Montjeu
233,WONDERFUL TIGER (A235),IRE,6,Bay , Gelding,PP,1780350,3,3,0,34,Approve,Cuilaphuca,Danetime
234,MAGIC POWER (A236) (Retired),IRE,,Bay , Gelding,PP,0,0,0,0,13,Elzaam,Kind Regards,Unfuwain
235,MEGA TREASURE (A237) (Retired),IRE,,Bay , Gelding,PP,226200,0,0,1,18,Kodiac,Defined Feature,Nabeel Dancer
236,RISE HIGH (A238),FR,6,Bay , Gelding,PP,16876725,6,2,2,19,Myboycharlie,Lana Girl,Arch
237,PLAY IT (A239) (Retired),GB,,Bay , Gelding,PP,1421200,1,4,0,26,Paco Boy,Tereshkina,Sadler's Wells
238,ARCADA (A240) (Retired),IRE,,Bay , Gelding,PP,2090700,2,1,0,16,Rip Van Winkle,Applause,Danehill Dancer
239,DEE DEE D'OR (A241) (Retired),IRE,,Grey , Colt,PP,0,0,0,0,3,Zebedee,Goldendale,Ali-Royal
240,BONUS KING (A242) (Retired),IRE,,Bay , Gelding,PPG,0,0,0,0,3,Arcano,Babacora,Indian Ridge
241,CONFUCIUS WARRIOR (A243) (Retired),IRE,,Chestnut , Gelding,PPG,143500,0,0,1,2,Sir Prancealot,Tides,Bahamian Bounty
242,NUCLEAR POWER (A244) (Retired),GB,,Bay , Gelding,PP,2498325,1,3,3,25,Equiano,Miss Rimex,Ezzoud
243,FORTUNE PATROL (A245),IRE,6,Bay , Gelding,PP,977730,1,1,4,31,Rip Van Winkle,Gwyllion,Red Ransom
244,KYRUS BOWSER (A246) (Retired),GER,,Bay , Gelding,PP,658925,0,1,0,11,Areion,Goonda,Darshaan
245,FAITHFUL TRINITY (A247),GER,6,Bay , Gelding,PP,1970395,2,1,0,32,Wiener Walzer,Saaleland,Lando
246,CALCULATION (A248) (Retired),IRE,,Chestnut , Gelding,PP,6597525,3,7,2,25,Dandy Man,Piece Unique,Barathea
247,THE JOY OF GIVING (A249),IRE,6,Bay , Gelding,PP,1927425,2,5,3,31,Thewayyouare,Vera Mont,Danehill Dancer
248,LEAN AMBASSADOR (A250) (Retired),AUS,,Chestnut , Gelding,PP,0,0,0,0,11,Helmet,Preserve,Canny Lad
249,SUPER LUCKY (A251),AUS,6,Bay , Gelding,PP,2344000,2,4,3,28,Myboycharlie,Aloha Charm,Marauding
250,SOUTHERN LEGEND (A252),AUS,7,Bay , Gelding,PP,40964883,8,3,5,31,Not A Single Doubt,Donna's Appeal,Carnegie
251,WINNING FAITH (A253) (Retired),AUS,,Chestnut , Gelding,PP,4030000,3,2,4,24,Star Witness,My Central,Central Park
252,E MASTER (A254),AUS,6,Bay , Gelding,PPG,3414140,4,3,2,27,Dreamscape,Ditas,Don Eduardo
253,HAPPY OUT THERE (A255) (Retired),AUS,,Chestnut , Gelding,PPG,0,0,0,0,16,Happy Giggle,Out There,Marwina
254,VICTORIOUS ANTHEM (A256) (Retired),NZ,,Chestnut , Gelding,PPG,0,0,0,0,0,Jimmy Choux,With Ice,Snowland
255,IVICTORY (A257) (Retired),AUS,,Bay , Gelding,PPG,15719250,7,1,0,16,Mossman,Inca Lagoon,Hussonet
256,EDGE HILL (A258) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,0,New Approach,Very Sydney,Danehill
257,A STAR LUSTER (A259) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,8,Starcraft,Accomplishment,Flying Spur
258,BRAVE LEGEND (A260) (Retired),AUS,,Bay , Gelding,PP,4319500,4,1,2,34,Choisir,Uno Sayuri,Scatter The Gold
259,ROYAL MOJITO (A261) (Retired),NZ,,Bay , Gelding,PP,1506700,0,3,4,22,Darci Brahma,Lava Lady,Kenmare
260,PINGWU SPARK (A262) (Retired),NZ,,Grey , Gelding,PP,8752650,5,3,2,20,Mastercraftsman,Sharp Point,Point Given
261,COLCHESTER (A263) (Retired),NZ,,Bay , Gelding,PP,0,0,0,0,3,Rios,Danish Wedding,Danasinga
262,FRIENDO (A264) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,3,Animal Kingdom,Bella Cantata,Stravinsky
263,SIMBA (A265) (Retired),NZ,,Bay , Gelding,PPG,0,0,0,0,0,Battle Paint,Dona Kay,Don Tristram
264,JOLLY BOUNTIFUL (A266) (Retired),NZ,,Brown , Gelding,PPG,2095800,2,2,6,20,Bullbars,Senorita Rosay,Senor Pete
265,FLYING NOBLE (A267),NZ,6,Bay , Gelding,PPG,1604525,2,2,1,31,Ekraar,Keeperinthemyst,Keeper
266,TRIUMPHAL TRUMPET (A268) (Retired),AUS,,Brown , Gelding,PPG,376200,1,0,0,10,Foxwedge,Dance Class,Bin Ajwaad
267,RAY'S CALL (A269) (Retired),NZ,,Bay , Gelding,PPG,76950,0,0,0,11,Jimmy Choux,Night Danza,Danzero
268,GOKO (A270),NZ,6,Bay , Gelding,PPG,4463320,4,4,3,33,O'Reilly,Miraculous Miss,Exceed And Excel
269,STRATHSPEY (A271) (Retired),NZ,,Bay , Gelding,PPG,669600,0,2,2,8,O'Reilly,Pin High,Pins
270,PENZANCE (A272) (Retired),NZ,,Brown , Gelding,PPG,712300,1,1,1,15,Pentire,Zablonde,Zabeel
271,LUCKY SHINY DAY (A273) (Retired),NZ,,Bay , Gelding,PPG,1003950,0,4,1,23,Per Incanto,Zalass,Zabeel
272,FOR YIU POWER UP (A274) (Retired),NZ,,Bay , Gelding,PPG,0,0,0,0,1,Rip Van Winkle,Kitty,Black Minnaloushe
273,EVER STRONG (A275),NZ,6,Brown , Gelding,PPG,2112550,4,0,3,30,Savabeel,Fire Song,Senor Pete
274,JOLLY GAINS (A276) (Retired),NZ,,Bay , Gelding,PPG,460600,0,1,1,12,Savabeel,Harinui,Generous
275,LEISURED FEET (A277),NZ,6,Brown , Gelding,PPG,1772475,2,3,1,26,Savabeel,Quatro,Rock Of Gibraltar
276,EVER LAUGH (A278),AUS,6,Bay , Gelding,PPG,4277780,5,3,4,33,Savabeel,Sotela,Commands
277,BABY BOY (A279) (Retired),NZ,,Brown , Gelding,PPG,0,0,0,0,0,Savabeel,Starring,Stravinsky
278,CREME BRULEE (A280) (Retired),NZ,,Bay , Gelding,PPG,299200,0,1,0,10,Showcasing,Twelve Carat,Snaadee
279,LIGHTNING MISSILE (A281),AUS,6,Bay , Gelding,PPG,683800,1,1,0,19,Smart Missile,Venetian Lady,Woodman
280,ORIENTAL ELITE (A282),AUS,6,Bay , Gelding,PPG,1679265,2,0,4,18,Star Witness,Bail Out,Charge Forward
281,LUCKY STRYKER (A283) (Retired),AUS,,Bay , Gelding,PPG,101200,0,0,1,3,Stryker,Flushed,Redding
282,FULL OF CHANCES (A284) (Retired),NZ,,Bay , Gelding,PPG,863400,1,1,1,19,Thewayyouare,Suzie Temple,Mellifont
283,COME ON WONGCHOY (A285) (Retired),AUS,,Black , Gelding,PPG,872850,1,3,0,21,Written Tycoon,Hayley's Thunder,Thunder Gulch
284,QUICK RETURN (A286) (Retired),NZ,,Brown , Gelding,PP,799950,0,2,2,24,Bachelor Duke,Tithe,Maroof
285,FIFTY FIFTY (A287) (Retired),NZ,,Grey , Gelding,PP,10281250,4,3,2,15,Thorn Park,Udiditagain,D'Cash
286,LOGAN ONE (A288) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,3,Commands,Olivine,Royal Academy
287,SNOW HAWK (A289) (Retired),NZ,,Bay , Gelding,PPG,0,0,0,0,7,Fast 'N' Famous,Gilfinali,Blues Traveller
288,WIN BEAUTY WIN (A290) (Deregistered),NZ,,Bay , Gelding,PPG,4733100,4,2,0,7,Makfi,Mandeville,Hussonet
289,GOUTEN OF GARO (A291),NZ,6,Chestnut , Gelding,PPG,1434000,1,1,6,31,Per Incanto,Brookster,Danske
290,FORTUNATE RUNNER (A292),NZ,6,Bay , Gelding,PPG,1009400,1,0,1,17,Tavistock,La Campanella,More Than Ready
291,SAUL'S SPECIAL (A293),AUS,6,Bay , Gelding,PP,5152950,4,2,1,33,Charge Forward,Cortina Gal,Flying Spur
292,KHAKI (A294) (Retired),AUS,,Brown , Gelding,PP,1051620,1,1,2,22,Commands,Chameleon,Encosta de Lago
293,SHALLUCK (A295) (Retired),AUS,,Brown , Gelding,PP,0,0,0,0,12,Lookin At Lucky,Shasmecka,Secret Savings
294,MASTER ALBERT (A296),AUS,6,Chestnut , Gelding,PP,4064180,3,3,6,36,Magic Albert,Kate Of Clonmel,Bianconi
295,COBY BOY (A297) (Retired),AUS,,Chestnut , Gelding,PP,2646950,2,2,0,17,Sebring,Elle Labelle,Elvstroem
296,JUNGLE KING (A298) (Deregistered),AUS,,Chestnut , Gelding,PPG,30800,0,0,0,4,Choisir,As Good As Perfect,Swain
297,HOT KING PRAWN (A299),AUS,5,Grey , Gelding,PPG,23697300,10,4,2,18,Denman,De Chorus,Unbridled's Song
298,VERY SWEET ORANGE (A300),AUS,5,Chestnut , Gelding,PPG,3953324,5,4,0,25,Exceed And Excel,Dubai Me Diamonds,Dubawi
299,BINGO (A301) (Retired),AUS,,Bay , Gelding,PPG,2923300,2,7,3,33,Hinchinbrook,Startling Pleasure,Shovhog
300,MIGHTY TIME (A302) (Retired),NZ,,Chestnut , Gelding,PPG,0,0,0,0,0,Mastercraftsman,Tenacity,Zabeel
301,VIGOROUS SPIRIT (A303) (Retired),AUS,,Chestnut , Gelding,PPG,0,0,0,0,3,Turffontein,Strategic Impulse,Strategic
302,FURIOUS BOY (A304) (Deregistered),GB,,Chestnut , Colt,PP,0,0,0,0,0,Equiano,Sofonisba,Rock Of Gibraltar
303,DOLLAR REWARD (A305),GB,7,Bay , Gelding,PP,3496108,2,6,6,39,Shamardal,Cape Dollar,Cape Cross
304,MARCHING ON (A306) (Retired),GER,,Bay , Gelding,PPG,0,0,0,0,0,Redoute's Choice,So Squally,Monsun
305,SAVANNAH WIND (A307) (Deregistered),NZ,,Bay , Gelding,ISG,1311775,2,1,2,26,Savabeel,Now The World,Flying Spur
306,GALLANT RETURN (A308) (Retired),GER,,Bay , Gelding,ISG,1771400,1,2,3,15,Soldier Hollow,C'est L'Amour,Whipper
307,BEAUTY STAR (A309) (Retired),AUS,,Bay , Gelding,ISG,0,0,0,0,0,Northern Meteor,Fairytale Dancer,Danehill Dancer
308,IMPECCABLE FELLOW (A310),IRE,6,Bay , Gelding,ISG,903820,1,0,2,17,Acclamation,Moment Juste,Pivotal
309,SPORTS MASTER (A311) (Retired),AUS,,Bay , Gelding,ISG,615750,0,3,1,14,Magic Albert,Judicial Queen,Unbridled's Song
310,XIANG HUANG QI (A312) (Retired),GB,,Bay , Gelding,ISG,82800,0,0,0,13,Kyllachy,Capacious,Nayef
311,HAPPY WARRIOR (A313),AUS,6,Brown , Gelding,ISG,3432715,3,6,2,29,More Than Ready,Zingaling,Redoute's Choice
312,SMART CHARADE (A314),IRE,6,Bay , Gelding,ISG,2156805,2,2,1,28,Fastnet Rock,Aniarnota,Dalakhani
313,BEAUT BEAUT (A315),NZ,6,Bay , Gelding,ISG,2526200,3,2,3,26,Darci Brahma,Luscious Legs,Pins
314,TRAVEL EMPEROR (A316) (Retired),AUS,,Bay , Gelding,ISG,1404650,2,1,1,15,Duporth,Baby Corn,Exceed And Excel
315,BUOYANT BOY (A317) (Retired),GB,,Bay , Gelding,ISG,3738650,2,5,2,23,Zoffany,Close To The Edge,Iffraaj
316,THE LEGEND (A318) (Retired),AUS,,Bay , Gelding,ISG,160200,0,0,0,17,Starcraft,Biancalaura,Belong To Me
317,EMPIRE OF PATCH (A319) (Retired),IRE,,Bay , Gelding,ISG,210200,0,0,0,8,Exceed And Excel,Saabiq,Grand Slam
318,ALL YOU KNOW (A320),IRE,6,Grey , Gelding,ISG,2366875,2,3,2,29,Dark Angel,Marseille Express,Caerleon
319,HOUSEHOLD KING (A321) (Deregistered),AUS,,Bay , Gelding,ISG,501600,1,0,0,2,Hussonet,Almah,Al Mufti
320,ROCKET GO (A322) (Retired),AUS,,Bay , Gelding,ISG,0,0,0,0,12,Fastnet Rock,Allez France,Hennessy
321,SUPER EIGHTEEN (A323),IRE,6,Chestnut , Gelding,ISG,1464200,1,3,1,24,Casamento,Three Times,Bahamian Bounty
322,ADONIS (A324),AUS,6,Bay , Gelding,ISG,1733910,2,3,1,31,Exceed And Excel,Mythical Play,Defensive Play
323,CHATER THUNDER (A325) (Retired),FR,,Bay , Gelding,ISG,1755025,3,1,1,24,Oasis Dream,Sanjida,Polish Precedent
324,NOBLE STEED (A326),AUS,6,Bay , Gelding,ISG,4715000,4,5,1,24,Street Cry,Extension Of Time,Dash For Cash
325,HUMBLE STEED (A327),IRE,6,Bay , Gelding,ISG,464000,1,0,0,9,Kodiac,Singitta,Singspiel
326,ABSOLUCOOL (A328),AUS,6,Bay , Gelding,ISG,333300,0,1,0,9,Smart Missile,Eyelean,Galileo
327,JIN JIN KING (A329) (Retired),FR,,Bay , Gelding,ISG,188550,0,0,2,12,Holy Roman Emperor,Lapland,Linamix
328,MY HONEY (A330) (Retired),AUS,,Bay , Gelding,ISG,349800,0,2,0,10,Choisir,Rich Ransom,Red Ransom
329,PURE COURAGE (A331) (Deregistered),IRE,,Grey , Gelding,ISG,0,0,0,0,0,Dark Angel,Zaraba,Sakhee
330,HOLEE MONEY (A332) (Retired),AUS,,Bay , Gelding,ISG,407805,0,0,3,7,Master Of Design,Sparkling Symphony,Stravinsky
331,GOOD DAYS (A333),AUS,6,Bay , Gelding,ISG,3092740,3,5,2,38,Artie Schiller,Vintage Rock,Thunder Gulch
332,TRIUMPHAL WIN (A334) (Retired),GB,,Chestnut , Gelding,ISG,186300,0,0,1,17,Paco Boy,Tora Bora,Grand Lodge
333,OWNERS' DELIGHT (A335) (Deregistered),AUS,,Bay , Gelding,ISG,0,0,0,0,8,Bel Esprit,Tiger Storm,Hold That Tiger
334,THE CREATETH (A336) (Retired),AUS,,Bay , Gelding,PP,1651365,1,3,1,31,Henrythenavigator,Creative Plan,Flying Spur
335,SHANGHAI MASTER (A337),AUS,6,Brown , Gelding,PP,2566800,2,2,2,31,More Than Ready,Rose Of Hallowell,Commands
336,BOMBAY BLITZ (A338) (Retired),AUS,,Chestnut , Gelding,PP,517450,0,1,1,10,Snitzel,Covertly,Metal Storm
337,TOP BEAUTIFUL (A339) (Retired),AUS,,Bay ,,PPG,2630350,3,1,2,11,Nicconi,Delarouze,Encosta de Lago
338,NATURAL FLARE (A340) (Retired),AUS,,Bay , Gelding,PPG,864950,1,1,2,22,Smart Missile,Porschalaine,Keltrice
339,AWESOME SAUCE (A341) (Retired),AUS,,Brown , Gelding,PPG,0,0,0,0,1,So You Think,Miss Darcey,Hussonet
340,TECHNICIAN (A342) (Retired),NZ,,Brown , Gelding,PP,0,0,0,0,1,Coats Choice,O'Tryst,O'Reilly
341,POWER OF PATCH (A343) (Retired),AUS,,Brown , Gelding,PP,0,0,0,0,3,High Chaparral,Zumanity,O'Reilly
342,SMILING PRIDE (A344) (Retired),NZ,,Bay , Gelding,PP,1492700,2,1,1,15,O'Reilly,Salkantay,Zabeel
343,DR PROACTIVE (A345),NZ,6,Brown , Gelding,PPG,1771300,1,4,2,24,Denman,Batroun,Danzero
344,GOLDEN GENERAL (A346),NZ,6,Bay , Gelding,PPG,25375,0,0,0,10,Foxwedge,Beautiful Reward,Diesis
345,LUCKY LUCKY (A347) (Retired),AUS,,Bay , Gelding,PPG,1259040,0,4,3,23,Murtajill,Lady Of Laredo,Night Shift
346,HAPPY HAPPY (A348) (Retired),NZ,,Brown , Gelding,PPG,574150,0,3,0,21,Rip Van Winkle,Molly Dear,Cape Cross
347,TAKEO (A349) (Retired),AUS,,Chestnut , Gelding,PPG,0,0,0,0,0,Starcraft,Vortex,Reset
348,SALTO OLIMPICO (A350),BRZ,6,Brown , Horse,PP,1910005,2,2,2,33,Holy Roman Emperor,Sarada,New Colony
349,WINNING SUPREME (A351) (Retired),AUS,,Bay , Gelding,PP,3029700,4,1,2,36,Alfred Nobel,Matilda Grace,Stravinsky
350,MIGHTY BOY (A352) (Deregistered),AUS,,Bay , Gelding,PP,45850,0,0,0,10,Red Dazzler,Silky Tiger,Hold That Tiger
351,FARSON (A353) (Retired),AUS,,Bay , Gelding,PP,0,0,0,0,0,Snitzel,Clear View,Gallo Di Ferro
352,ALCARI (A354),AUS,5,Brown , Gelding,PPG,4007700,2,5,5,30,All Too Hard,Cariad,Sequalo
353,TOP ENERGY (A355) (Retired),AUS,,Brown , Gelding,PPG,0,0,0,0,0,Pluck,Calibre Cut,Danehill Dancer
354,ROYAL CHOCOLATE (A356),AUS,6,Brown , Gelding,PPG,1244275,0,4,4,26,So You Think,Matter,Octagonal
355,SUPREME WITNESS (A357),AUS,6,Bay , Gelding,PPG,2063620,4,0,1,28,Stryker,Fine Stem,Devaraja
356,SWOT WINDICATOR (A358) (Retired),NZ,,Bay , Gelding,PP,105800,0,0,1,14,Nadeem,Nikki's Bride,O'Reilly
357,SHINING ON (A359),NZ,6,Bay , Gelding,PPG,1496440,1,2,4,25,O'Reilly,Savabeel Star,Savabeel
358,HORSE PROSPEROUS (A360) (Retired),NZ,,Bay , Gelding,PPG,55200,0,0,0,5,Tavistock,Diva Down Under,Exceed And Excel
359,SPOTLIGHT DREAM (A361) (Retired),IRE,,Bay , Gelding,PP,811800,1,0,0,2,Holy Roman Emperor,Jeu de Plume,Montjeu
360,SLEEP EDUCATION (A362) (Retired),SAF,,Chestnut , Gelding,PP,898400,0,0,4,27,Visionaire,Sweet Virginia,Casey Tibbs
361,AMAZING SATCHMO (A363) (Retired),GB,,Chestnut , Gelding,PPG,3381345,3,3,4,34,Kyllachy,Amitola,Choisir
362,EVERBRAVE (A364),NZ,6,Bay , Gelding,PP,1664115,1,2,2,28,Alamosa,Miss Riviera,Montjeu
363,HAPPY GUY (A365) (Retired),NZ,,Bay , Gelding,PP,197500,0,0,1,12,Alamosa,Shy Belt,Kingdom Bay
364,TAI SMART (A366) (Retired),NZ,,Chestnut , Gelding,PP,1264950,0,2,5,20,Mastercraftsman,Mardi Gras,Kaapstad
365,TIME TO CELEBRATE (A367),NZ,6,Brown , Gelding,PP,7925750,4,4,3,26,Per Incanto,Silver Cent,Centaine
366,GILDED TOUCH (A368) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,0,Beneteau,Ice Pack,Bite The Bullet
367,JUMBO BUS (A369) (Retired),NZ,,Bay , Gelding,PPG,48300,0,0,0,11,Iffraaj,Jabot,Green Perfume
368,WISH COME TRUE (A370) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,11,Stratum,Albany Crest,Anabaa
369,SUNNY POWER (A371),NZ,6,Bay , Gelding,PPG,2376760,2,2,5,26,Tavistock,Bantry Bay,Viking Ruler
370,SUPER HOPPY (A372) (Retired),AUS,,Chestnut , Gelding,PP,3693200,3,2,1,15,Captain Sonador,Nepro,Orpen
371,HARD PROMISE (A373),AUS,6,Bay , Gelding,PP,2274285,2,2,2,31,Hard Spun,Perfect Promise,Caesour
372,BEAUTY TIME (A374) (Retired),AUS,,Bay ,,PP,0,0,0,0,7,Magnus,Verbatim,Giant's Causeway
373,PING HAI STAR (A375) (Retired),NZ,,Bay , Gelding,PP,16786500,4,3,0,9,Nom Du Jeu,Vicky,Encosta de Lago
374,SUPERPOWER (A376) (Retired),AUS,,Bay , Gelding,PP,0,0,0,0,3,Northern Meteor,Exhibit,Octagonal
375,GUNNISON (A377),AUS,5,Chestnut , Gelding,PP,7092425,2,5,4,28,Not A Single Doubt,Colorado Claire,Hussonet
376,ROYAL PRINCE (A378) (Retired),AUS,,Bay , Gelding,PP,0,0,0,0,1,Reset,Riddles,Distorted Humor
377,SUNNY BOY (A379),AUS,5,Chestnut , Gelding,PP,1430750,1,1,1,8,Star Witness,Hilton Head,Fastnet Rock
378,VERY LUCKY (A380) (Retired),AUS,,Brown , Gelding,PP,0,0,0,0,11,Stryker,Leica Gossip,One Cool Cat
379,DRAGON PIONEER (A381) (Retired),AUS,,Bay , Gelding,PP,2512350,2,2,1,21,Zoffany,She's Sirius,Galileo
380,MY CHAMPION (A382) (Retired),AUS,,Chestnut , Gelding,PPG,0,0,0,0,1,Exceed And Excel,Rosetta Stone,Sadler's Wells
381,BETTER CHOICE (A383),AUS,6,Chestnut , Gelding,PPG,1550325,1,2,3,18,Hard Spun,Sweet Scene,Scenic
382,ROOKIE STAR (A384) (Retired),AUS,,Bay , Gelding,PPG,755600,1,0,1,25,Hard Spun,Tango's Choice,Redoute's Choice
383,PEOPLE'S CHAMPION (A385) (Deregistered),AUS,,Bay , Gelding,PPG,132000,0,0,1,4,Nicconi,Stellana,Testa Rossa
384,SINCERE HORSE (A386) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,11,Not A Single Doubt,Five Star Belle,General Nediym
385,LUCKY VOLATILITY (A387) (Retired),AUS,,Bay , Gelding,PPG,796400,1,1,1,3,Reward For Effort,Bouchette,Canny Lad
386,BIRDIE (A388) (Retired),NZ,,Chestnut , Gelding,PPG,0,0,0,0,0,Rip Van Winkle,Roxon,Postponed
387,BINGO HERO (A389) (Retired),AUS,,Chestnut , Gelding,PPG,161000,0,0,0,11,Star Witness,Our Contessina,Vettori
388,KINGSTON ONE (A390) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,7,Testa Rossa,Miss Elvee,Elvstroem
389,SPEEDY KING (A391) (Retired),AUS,,Chestnut , Gelding,PPG,7478075,7,3,4,26,Toorak Toff,County Tale,Tale Of The Cat
390,ULTIMATE DREAM (A392) (Deregistered),IRE,,Chestnut , Gelding,PP,770800,1,1,0,14,Arcano,Miss Azeza,Dutch Art
391,LIONROCKSPIRIT (A393) (Retired),IRE,,Bay , Gelding,PP,0,0,0,0,2,Fastnet Rock,Phillippa,Galileo
392,WINNERS FOLLOW ME (A394) (Retired),GER,,Chestnut , Gelding,PP,0,0,0,0,2,Lope de Vega,Aglow,Spinning World
393,NORDIC STRIKE (A395) (Retired),URU,,Chestnut , Gelding,PP,0,0,0,0,0,Drosselmeyer,Fatta Per Vincere,Dynaformer
394,GOLDFIELD (A396) (Retired),ARG,,Bay , Gelding,PP,691750,0,1,1,14,Heliostatic,Heaven To Sally,Honour And Glory
395,INFINITE CHOICE (A397) (Retired),AUS,,Bay , Gelding,PP,0,0,0,0,0,Bel Esprit,My Lovely Lesley,Hennessy
396,CEREFINO (A398),NZ,6,Bay , Gelding,PP,877145,1,0,0,19,Fully Fledged,Honeymoonzova,Volksraad
397,MAJESTIC ENDEAVOUR (A399) (Retired),AUS,,Bay , Gelding,PP,903500,1,1,2,33,High Chaparral,Kylie's Way,Menifee
398,BEAUTY MILES (A400) (Retired),NZ,,Brown , Gelding,PP,45850,0,0,0,3,Iffraaj,Riesling,Last Tycoon
399,SACRED ELIXIR (A401) (Retired),NZ,,Bay , Gelding,PP,409200,0,1,0,2,Pour Moi,Baltika,Stravinsky
400,CIRCUIT GLORY (A402),NZ,6,Bay , Gelding,PP,5206150,2,3,5,29,Tavistock,Cinnadream,King Of Kings
401,NOBLE STAR (A403) (Retired),NZ,,Bay , Gelding,PPG,0,0,0,0,4,Commands,Mareva,Zabeel
402,FLASH (A404) (Retired),NZ,,Bay , Gelding,PPG,0,0,0,0,1,Iffraaj,Destined,Danehill
403,LIVERBIRD STAR (A405),AUS,5,Bay , Gelding,PPG,1187675,1,3,1,17,Magnus,The Girlfriend,Spinning World
404,GALLANT SUCCESS (A406) (Retired),NZ,,Bay , Gelding,PPG,0,0,0,0,0,Pins,Royal Excess,Exceed And Excel
